ts,iso,open,high,low,close,vol
1731266100000,2024-11-10T19:15:00.000Z,3220.69,3220.73,3204.55,3212.46,918.3781576
1731267000000,2024-11-10T19:30:00.000Z,3212.54,3220.14,3175.01,3189.76,1712.5589993
1731267900000,2024-11-10T19:45:00.000Z,3189.99,3191.65,3145.31,3163.61,3149.0096694
1731268800000,2024-11-10T20:00:00.000Z,3163.62,3183.67,3142.78,3150.3,2270.8802599
1731269700000,2024-11-10T20:15:00.000Z,3150.29,3166.76,3143.67,3160.71,1609.0736188
1731270600000,2024-11-10T20:30:00.000Z,3161.19,3170.61,3133.17,3140.5,1956.4536823
1731271500000,2024-11-10T20:45:00.000Z,3139.39,3149.93,3115.73,3117.25,1794.680394
1731272400000,2024-11-10T21:00:00.000Z,3117.62,3128.69,3069.3,3094.45,2898.5857193
1731273300000,2024-11-10T21:15:00.000Z,3094.46,3139.33,3094.31,3138,2029.9072418
1731274200000,2024-11-10T21:30:00.000Z,3138,3154.6,3133.41,3142.45,1556.4853459
1731275100000,2024-11-10T21:45:00.000Z,3143.17,3185.11,3143.17,3168.51,1376.423273
1731276000000,2024-11-10T22:00:00.000Z,3169.09,3194.92,3162.7,3185.55,1445.2391569
1731276900000,2024-11-10T22:15:00.000Z,3185.36,3226.37,3185.15,3190.99,2264.3983112
1731277800000,2024-11-10T22:30:00.000Z,3191.03,3198.73,3146.84,3159.64,1932.8946709
1731278700000,2024-11-10T22:45:00.000Z,3159.9,3188.14,3153.54,3183.85,1050.1274298
1731279600000,2024-11-10T23:00:00.000Z,3183.98,3191.35,3172.12,3182.64,1455.4094268
1731280500000,2024-11-10T23:15:00.000Z,3183.21,3194.76,3175.08,3178.06,1069.7270584
1731281400000,2024-11-10T23:30:00.000Z,3178.07,3194.76,3172.21,3183.67,1082.8803387
1731282300000,2024-11-10T23:45:00.000Z,3183.41,3191.14,3180.87,3183.44,1037.215291
1731283200000,2024-11-11T00:00:00.000Z,3183.18,3191.65,3174.25,3183.79,1242.8445784
1731284100000,2024-11-11T00:15:00.000Z,3183.63,3197,3181.32,3194.47,1137.3757066
1731285000000,2024-11-11T00:30:00.000Z,3194.78,3200.47,3185.21,3198.99,1237.4846219
1731285900000,2024-11-11T00:45:00.000Z,3199.31,3204.46,3187.46,3193.39,959.4288061
1731286800000,2024-11-11T01:00:00.000Z,3193.47,3196.86,3183.36,3194.91,915.0293599
1731287700000,2024-11-11T01:15:00.000Z,3194.67,3199.89,3187.97,3198,975.4132536
1731288600000,2024-11-11T01:30:00.000Z,3198.01,3218.64,3197.82,3213.29,1498.3676626
1731289500000,2024-11-11T01:45:00.000Z,3213.93,3221.48,3195.2,3198.81,1324.1213581
1731290400000,2024-11-11T02:00:00.000Z,3199.23,3212.01,3192.22,3206.3,1231.9123103
1731291300000,2024-11-11T02:15:00.000Z,3206.28,3212.21,3201.95,3208.71,811.3127227
1731292200000,2024-11-11T02:30:00.000Z,3209,3213.33,3196.57,3198.46,1015.7963648
1731293100000,2024-11-11T02:45:00.000Z,3198.42,3206.78,3194.73,3202.43,810.1294797
1731294000000,2024-11-11T03:00:00.000Z,3202.42,3202.42,3192.53,3196.79,1041.1505449
1731294900000,2024-11-11T03:15:00.000Z,3196.81,3196.81,3171.04,3171.11,1114.51403996
1731295800000,2024-11-11T03:30:00.000Z,3171.71,3189.59,3171.71,3186.25,805.2668308
1731296700000,2024-11-11T03:45:00.000Z,3186.26,3202.54,3185.66,3195.15,990.0536488
1731297600000,2024-11-11T04:00:00.000Z,3195,3197.02,3179.82,3183.44,871.8039764
1731298500000,2024-11-11T04:15:00.000Z,3183.43,3183.43,3165.65,3165.87,1883.0214735
1731299400000,2024-11-11T04:30:00.000Z,3166.12,3177.87,3165.09,3175,1972.30841229
1731300300000,2024-11-11T04:45:00.000Z,3175.01,3180.83,3174.26,3179.87,1266.0494557
1731301200000,2024-11-11T05:00:00.000Z,3179.87,3183.89,3167.47,3167.48,1467.1781819
1731302100000,2024-11-11T05:15:00.000Z,3167.47,3170.63,3127.76,3145.2,3130.3746084
